"Work item ID","Work type","Summary","Description","Parent","Status","Priority","Story point estimate","Sprint","Labels","Labels","Labels","Labels","Labels","Component","Responsable sugerido","Start date","Due date","SRS trace"
"100","Epic","Planeación, SRS y arquitectura","Preparar la base documental, técnica y de gestión del MVP DogAlert.","","Finalizada","Highest","","","dogalert","epic","planning","requirements","design","Arquitectura","Isabella / Eliab","2026-08-10","2026-09-05","Secciones 1, 3, 9, 11 y 17"
"101","Epic","Navegación, cuentas y roles","Implementar acceso público, cuentas, sesiones, consentimiento y autorización por rol.","","To Do","Highest","","","dogalert","epic","development","mvp","","Mobile","Paco / Isabella","2026-09-06","2026-10-02","RF-001 a RF-006; RNF-PLAT-02; RNF-SEG-02 a RNF-SEG-04"
"102","Epic","Registro online y validaciones","Permitir registrar avistamientos e incidentes georreferenciados de forma segura y estructurada.","","To Do","Highest","","","dogalert","epic","development","mvp","","Reporting","Eliab / Paco","2026-09-06","2026-10-02","RF-002; RF-007 a RF-015; RF-020; RF-024 a RF-027"
"103","Epic","Cola offline y sincronización","Permitir captura sin conexión y sincronización confiable sin pérdidas ni duplicados.","","To Do","Highest","","","dogalert","epic","development","mvp","","Offline Sync","Santiago / Eliab","2026-09-06","2026-10-02","RF-016 a RF-019; RNF-REN-02; RNF-SEG-06; RNF-CON-01"
"104","Epic","Mapas, privacidad geográfica y mapa de calor","Publicar información verificada sin revelar coordenadas exactas y ofrecer análisis geográfico.","","To Do","Highest","","","dogalert","epic","development","mvp","","Maps","Paco / Jazmín","2026-09-06","2026-10-02","RF-031 a RF-036; RNF-REN-04; RNF-PRI-04"
"105","Epic","Moderación, estados y coincidencias","Dar al administrador herramientas para verificar reportes y analizar duplicados o corroboraciones.","","To Do","Highest","","","dogalert","epic","development","mvp","","Moderation","Eliab / Isabella","2026-09-06","2026-10-02","RF-020 a RF-023; RF-028 a RF-030; RF-043"
"106","Epic","Panel, métricas y exportaciones","Ofrecer consulta administrativa, indicadores verificables y entregables para el socio formador.","","To Do","High","","","dogalert","epic","development","mvp","","Analytics","Jazmín / Paco","2026-09-06","2026-10-02","RF-037 a RF-043"
"107","Epic","Seguridad, privacidad, retención y auditoría","Aplicar los controles de seguridad, privacidad, conservación y recuperación definidos en el SRS.","","To Do","Highest","","","dogalert","epic","development","mvp","","Security","Jazmín / Isabella","2026-09-06","2026-10-02","RF-042 a RF-045; RNF-SEG; RNF-PRI; RNF-CON"
"108","Epic","Pruebas, manual, estabilización y entrega","Verificar el MVP, preparar entregables y obtener la aceptación del socio formador.","","To Do","Highest","","","dogalert","epic","testing","deployment","mvp","QA / Docs","Santiago / Equipo","2026-10-03","2026-10-23","Secciones 8, 10, 11, 13, 15 y 17; RNF-USA; RNF-MAN"
"201","Task","Obtener aprobación formal del SRS","Registrar revisión, observaciones y evidencia de aceptación de Michelle Gutiérrez. Aceptación: existe minuta, correo o firma vinculada y todo cambio posterior entra al backlog.","100","Finalizada","Highest","1","","dogalert","requirements","completed","mvp","","Arquitectura","Isabella / Eliab","2026-08-10","2026-08-25","Aprobación; sección 15; D01"
"202","Task","Completar backlog, historias, riesgos y trazabilidad","Crear épicas, historias, estimaciones, responsables y vínculos con requisitos. Aceptación: cada ticket tiene criterio de aceptación y referencia SRS.","100","Finalizada","High","1","","dogalert","requirements","completed","mvp","","Arquitectura","Isabella","2026-08-10","2026-08-25","RNF-MAN-03; D02; sección 9.3"
"203","Task","Validar arquitectura definitiva en GCP","Documentar React Native, SQLite, HTTPS, Cloud Run, Spring Boot, Cloud SQL/MySQL y Leaflet/OpenStreetMap. Aceptación: el diagrama definitivo del equipo se conserva como fuente y la DB no se expone a Internet.","100","Finalizada","Highest","1","","dogalert","design","completed","mvp","","DevOps / Cloud","Isabella / Jazmín","2026-08-26","2026-09-05","Sección 3; Deployment Diagram Dog Alert.drawio"
